,City,float_value,id,label,type,percent_value,string_value,currency_dollar_value,int_value,url_value
0,ottawa,81.8,BUSINESS-FREEDOM,Business freedom,float,,,,,
1,ottawa,0.8027,BUSINESS-FREEDOM-TELESCORE,Business freedom [Teleport score],float,,,,,
2,ottawa,81.0,CORRUPTION-FREEDOM,Freedom from corruption,float,,,,,
3,ottawa,0.8871,CORRUPTION-FREEDOM-TELESCORE,Freedom from corruption [Teleport score],float,,,,,
4,ottawa,72.6,LABOR-RESTRICTIONS,Lack of labor restrictions,float,,,,,
5,ottawa,0.6705,LABOR-RESTRICTIONS-TELESCORE,Lack of labor restrictions [Teleport score],float,,,,,
6,ottawa,1.5,TIME-TO-OPEN-BUSINESS,Time to open a business,float,,,,,
7,ottawa,1.0,TIME-TO-OPEN-BUSINESS-TELESCORE,Time to open a business [Teleport score],float,,,,,
0,ottawa,1.269,POPULATION-SIZE,Urban area population (millions),float,,,,,
1,ottawa,4696.818359375,POPULATION-UA-CENTER-DENSITY,Population density in people/sq km in UA center.,float,,,,,
2,ottawa,248.30942040823655,POPULATION-UA-DENSITY,Population density in people/sq km over full UA as defined by bounding box.,float,,,,,
0,ottawa,12.8,WEATHER-AV-DAY-LENGTH,Average day length (hours),float,,,,,
1,ottawa,118.3,WEATHER-AV-NUMBER-RAINY-DAYS,Average number of rainy days per year,float,,,,,
2,ottawa,,WEATHER-AV-POSSIBILITY-SUNSHINE,Average annual percent chance of sunshine,percent,0.445,,,,
3,ottawa,,WEATHER-AVERAGE-HIGH,Average high temperature (Celsius),string,,11.4,,,
4,ottawa,,WEATHER-AVERAGE-LOW,Average low temperature (Celsius),string,,1.9,,,
5,ottawa,15.2,WEATHER-SUNSHINE-AMOUNT,Average daily solar radiation (Mj/m²),float,,,,,
6,ottawa,,WEATHER-TYPE,Weather type,string,,Warm Summer Continental Climate,,,
0,ottawa,0.6027,CONSUMER-PRICE-INDEX-TELESCORE,Inflation [Teleport score],float,,,,,
1,ottawa,,COST-APPLES,A kilogram of Apples,currency_dollar,,,2.8,,
2,ottawa,,COST-BREAD,Bread,currency_dollar,,,1.1,,
3,ottawa,,COST-CAPPUCCINO,A Cappuccino,currency_dollar,,,3.6,,
4,ottawa,,COST-CINEMA,Movie ticket,currency_dollar,,,11.0,,
5,ottawa,,COST-FITNESS-CLUB,Monthly fitness club membership,currency_dollar,,,42.0,,
6,ottawa,,COST-IMPORT-BEER,A beer,currency_dollar,,,2.3,,
7,ottawa,,COST-PUBLIC-TRANSPORT,Monthly public transport,currency_dollar,,,89.0,,
8,ottawa,,COST-RESTAURANT-MEAL,Lunch,currency_dollar,,,14.0,,
9,ottawa,,COST-TAXI,5km taxi ride,currency_dollar,,,8.2,,
10,ottawa,,RESTAURANT-PRICE-INDEX,Price of a meal at a restaurant,currency_dollar,,,63.87,,
0,ottawa,0.6628,CULTURE-ART-GALLERIES-TELESCORE,Art galleries [Teleport score],float,,,,,
1,ottawa,,CULTURE-ART-GALLERIES-VENUE-COUNT,Art galleries,int,,,,65.0,
2,ottawa,0.5078,CULTURE-CINEMA-TELESCORE,Cinemas [Teleport score],float,,,,,
3,ottawa,,CULTURE-CINEMAS-VENUE-COUNT,Cinemas,int,,,,46.0,
4,ottawa,0.6918,CULTURE-COMEDY-CLUBS-TELESCORE,Comedy clubs [Teleport score],float,,,,,
5,ottawa,,CULTURE-COMEDY-CLUBS-VENUE-COUNT,Comedy clubs,int,,,,17.0,
6,ottawa,0.5641,CULTURE-CONCERTS-TELESCORE,Concerts [Teleport score],float,,,,,
7,ottawa,,CULTURE-CONCERTS-VENUE-COUNT,Concert venues,int,,,,85.0,
8,ottawa,0.6163,CULTURE-HISTORICAL-SITES-TELESCORE,Historical sites [Teleport score],float,,,,,
9,ottawa,,CULTURE-HISTORICAL-SITES-VENUE-COUNT,Historical sites,int,,,,46.0,
10,ottawa,0.6021,CULTURE-MUSEUMS-TELESCORE,Museums [Teleport score],float,,,,,
11,ottawa,,CULTURE-MUSEUMS-VENUE-COUNT,Museums,int,,,,44.0,
12,ottawa,0.5652,CULTURE-PERFORMING-ARTS-TELESCORE,Performing arts [Teleport score],float,,,,,
13,ottawa,,CULTURE-PERFORMING-ARTS-VENUE-COUNT,Performing art venues,int,,,,86.0,
14,ottawa,0.6282,CULTURE-SPORTS-TELESCORE,Sports [Teleport score],float,,,,,
15,ottawa,,CULTURE-SPORTS-VENUE-COUNT,Sport venues,int,,,,41.0,
16,ottawa,0.6217,CULTURE-ZOOS-TELESCORE,Zoos [Teleport score],float,,,,,
17,ottawa,,CULTURE-ZOOS-VENUE-COUNT,Zoos,int,,,,8.0,
0,ottawa,,CURRENCY-URBAN-AREA,Currency for urban area,string,,CAD,,,
1,ottawa,1.2676461121,CURRENCY-URBAN-AREA-EXCHANGE-RATE,Currency exchange rate per US dollar for urban area,float,,,,,
2,ottawa,,GDP-GROWTH-RATE,GDP growth rate,percent,0.02532,,,,
3,ottawa,0.4499,GDP-GROWTH-RATE-TELESCORE,GDP growth rate [Teleport score],float,,,,,
4,ottawa,,GDP-PER-CAPITA,GDP per capita,currency_dollar,,,44843.442,,
5,ottawa,0.7182,GDP-PER-CAPITA-TELESCORE,GDP per capita [Teleport score],float,,,,,
0,ottawa,,PISA-DETAIL-HAPPINESS,Percent of happy students,percent,0.7924683349556274,,,,
1,ottawa,,PISA-DETAIL-MATH-HIGH-PERFORMERS,Percent of top performers in PISA math test,percent,0.16395889881368156,,,,
2,ottawa,,PISA-DETAIL-MATH-LOW-PERFORMERS,Percent of low performers in PISA math test,percent,0.13828946464512126,,,,
3,ottawa,515.4297028079022,PISA-DETAIL-MATH-MEAN-SCORES,Country mean scores in PISA math test,float,,,,,
4,ottawa,,PISA-DETAIL-READING-HIGH-PERFORMERS,Percent of top performers in PISA reading test,percent,0.12856778143607905,,,,
5,ottawa,,PISA-DETAIL-READING-LOW-PERFORMERS,Percent of low performers in PISA reading test,percent,0.10894788089799351,,,,
6,ottawa,523.1240029666766,PISA-DETAIL-READING-MEAN-SCORES,Country mean scores in PISA reading test,float,,,,,
7,ottawa,,PISA-DETAIL-SCIENCE-HIGH-PERFORMERS,Percent of top performers in PISA science test,percent,0.11311272404470786,,,,
8,ottawa,,PISA-DETAIL-SCIENCE-LOW-PERFORMERS,Percent of low performers in PISA science test,percent,0.10422230388408599,,,,
9,ottawa,525.4412921426247,PISA-DETAIL-SCIENCE-MEAN-SCORES,Country mean scores in PISA science test,float,,,,,
10,ottawa,,PISA-MATHS-RANKING,PISA math ranking (high school),int,,,,9.0,
11,ottawa,,PISA-RANKING,PISA ranking,int,,,,5.0,
12,ottawa,0.9665,PISA-RANKING-TELESCORE,PISA ranking (high school) [Teleport score],float,,,,,
13,ottawa,,PISA-READING-RANKING,PISA reading (high school),int,,,,2.0,
14,ottawa,,PISA-SCIENCE-RANKING,PISA science (high school),int,,,,6.0,
15,ottawa,0.1182,QUALITY-OF-UNIVERSITIES-TELESCORE,University quality [Teleport score],float,,,,,
16,ottawa,,UNIVERSITIES-BEST-RANKED-NAME,Best university in ranking,string,,University of Ottawa,,,
17,ottawa,,UNIVERSITIES-BEST-RANKED-RANK,Best university ranking,int,,,,275.0,
0,ottawa,0.9068,HEALTHCARE-COST-TELESCORE,Healthcare expenditure [Teleport score],float,,,,,
1,ottawa,82.1746,HEALTHCARE-LIFE-EXPECTANCY,Life expectancy (years),float,,,,,
2,ottawa,0.929,HEALTHCARE-LIFE-EXPECTANCY-TELESCORE,Life expectancy [Teleport score],float,,,,,
3,ottawa,0.8268,HEALTHCARE-QUALITY-TELESCORE,Healthcare quality [Teleport score],float,,,,,
0,ottawa,,APARTMENT-RENT-LARGE,Large apartment,currency_dollar,,,1300.0,,
1,ottawa,,APARTMENT-RENT-MEDIUM,Medium apartment,currency_dollar,,,1100.0,,
2,ottawa,,APARTMENT-RENT-SMALL,Small apartment,currency_dollar,,,840.0,,
3,ottawa,0.6687,RENT-INDEX-TELESCORE,Rent index [Teleport score],float,,,,,
0,ottawa,,ELDERLY-PEOPLE,Percent of elderly people (65+ years) in country,percent,0.001818,,,,
1,ottawa,81.9,LIFE-EXPECTANCY,Life expectancy at birth in country,float,,,,,
2,ottawa,42.0,MEDIAN-AGE,Median age in country,float,,,,,
3,ottawa,,UNEMPLOYMENT-RATE,Unemployment rate in country,percent,0.0007099999999999999,,,,
0,ottawa,,EMPLOYER-SOCIAL-TAXES-CAP-OTHER,Maximum amount paid by employer as other social taxes per employee,currency_dollar,,,82.0,,
1,ottawa,,EMPLOYER-SOCIAL-TAXES-CAP-SOC-SEC,Maximum amount paid by employer as social security taxes per employee,currency_dollar,,,156.0,,
2,ottawa,,EMPLOYER-SOCIAL-TAXES-OTHER,Employer social taxes per employee,percent,0.02632,,,,
3,ottawa,,EMPLOYER-SOCIAL-TAXES-SOC-SEC,Employer social security taxes per employee,percent,0.0495,,,,
4,ottawa,,STARTUP-JOBS-AVAILABLE,Startup jobs available,int,,,,33.0,
5,ottawa,0.4525,STARTUP-JOBS-AVAILABLE-TELESCORE,Startup job availability [Teleport score],float,,,,,
6,ottawa,0.504,STARTUP-SALARIES,Startup salary [Teleport score],float,,,,,
7,ottawa,,STARTUP-SALARIES-DETAIL,Startup salary,currency_dollar,,,45881.0,,
0,ottawa,,ENGLISH-SKILLS-DETAIL,English skills,int,,,,100.0,
1,ottawa,1.0,ENGLISH-SKILLS-TELESCORE,English skills [Teleport score],float,,,,,
2,ottawa,,SPOKEN-LANGUAGES,Spoken languages,string,,"English, French",,,
0,ottawa,,LGBT-DETAIL-ADOPTION,LGBT adoption rights,string,,✔ Legal,,,
1,ottawa,,LGBT-DETAIL-AGE-OF-CONSENT,LGBT age of consent,string,,✖ Unequal,,,
2,ottawa,,LGBT-DETAIL-CHANGING-GENDER,LGBT gender changing rights,string,,Varies by Region,,,
3,ottawa,,LGBT-DETAIL-CONVERSION-THERAPY,LGBT conversion therapy regulations,string,,Varies by Region,,,
4,ottawa,,LGBT-DETAIL-DISCRIMINATION,LGBT discrimination legality,string,,Illegal in some contexts,,,
5,ottawa,,LGBT-DETAIL-DONATING-BLOOD,LGBT blood donation regulations,string,,✖ Banned (5-year deferral),,,
6,ottawa,,LGBT-DETAIL-EMPLOYMENT-DISCRIMINATION,LGBT employment discrimination legality,string,,Sexual orientation only,,,
7,ottawa,,LGBT-DETAIL-HOMOSEXUALITY,LGBT homosexuality rights,string,,✔ Legal,,,
8,ottawa,,LGBT-DETAIL-HOUSING-DISCRIMINATION,LGBT housing discrimination legality,string,,Varies by Region,,,
9,ottawa,,LGBT-DETAIL-MARRIAGE,LGBT marriage rights,string,,✔ Legal,,,
10,ottawa,,LGBT-DETAIL-OPINION-PERCENT-IN-FAVOR,Homosexuality acceptance (percent of the surveyed population in favor),percent,0.8,,,,
11,ottawa,82.02,LGBT-INDEX,LGBT Equality Index,float,,,,,
12,ottawa,0.8369,LGBT-INDEX-TELESCORE,LGBT Equality Index [Teleport score],float,,,,,
13,ottawa,0.889,TOLERANCE-TOWARDS-MINORITIES-TELESCORE,Tolerance towards minorities [Teleport score],float,,,,,
0,ottawa,39.345,NETWORK-DOWNLOAD,Download speed (Mbps),float,,,,,
1,ottawa,0.5537,NETWORK-DOWNLOAD-TELESCORE,Internet access (download) [Teleport score],float,,,,,
2,ottawa,20.745,NETWORK-UPLOAD,Upload speed (Mbps),float,,,,,
3,ottawa,0.6998,NETWORK-UPLOAD-TELESCORE,Internet access (upload) [Teleport score],float,,,,,
0,ottawa,71.0,ELEVATION,Urban area elevation (meters),float,,,,,
1,ottawa,1.0,ELEVATION-HILLS,Presence of hills in city,float,,,,,
2,ottawa,506.5,ELEVATION-PEAKS,Median peak in meters,float,,,,,
3,ottawa,0.2235,ELEVATION-PEAKS-TELESCORE,Elevation (hills or mountains) [Teleport score],float,,,,,
4,ottawa,0.8402,SEASIDE-ACCESS-TELESCORE,Water access [Teleport score],float,,,,,
5,ottawa,1.0,SEASIDE-WATERBODY,Seaside waterbody,float,,,,,
0,ottawa,0.9754,AIR-POLLUTION-TELESCORE,Air quality [Teleport score],float,,,,,
1,ottawa,0.8595,CLEANLINESS-TELESCORE,Cleanliness [Teleport score],float,,,,,
2,ottawa,0.9387,DRINKING-WATER-QUALITY-TELESCORE,Drinking water quality [Teleport score],float,,,,,
3,ottawa,0.9433,URBAN-GREENERY-TELESCORE,Urban greenery [Teleport score],float,,,,,
0,ottawa,0.8564,CRIME-RATE-TELESCORE,Crime rate [Teleport score],float,,,,,
1,ottawa,,GUN-DEATH-RATE,"Gun-related deaths per 100,000 residents per year",int,,,,1.97,
2,ottawa,0.9478,GUN-DEATH-SCORE-TELESCORE,Lack of gun related deaths [Teleport score],float,,,,,
3,ottawa,,GUN-OWNERSHIP,Guns per 100 residents,int,,,,30.8,
